setor;Distrito;Bairro;SITUACAO;Tipo;Domicílios;Utiliza rede geral de distribuição;% rede geral;Utiliza poço profundo ou artesiano;% poço profundo;Utiliza poço raso, freático ou cacimba;% poço raso
150130305000001;Sede;Bairro da sede;Urbana;Tipo 1;175.0;88;50,29%;86.0;49,14%;;0,00%
150130305000002;Sede;Bairro da sede;Urbana;Tipo 1;193.0;66;34,20%;118.0;61,14%;9.0;4,66%
150130305000003;Sede;Bairro da sede;Urbana;Tipo 1;336.0;98;29,17%;166.0;49,40%;71.0;21,13%
150130305000004;Sede;Bairro da sede;Urbana;Tipo 1;219.0;11;5,02%;208.0;94,98%;0.0;0,00%
150130305000005;Sede;Bairro da sede;Urbana;Tipo 1;283.0;20;7,07%;260.0;91,87%;3.0;1,06%
150130305000006;Sede;Bairro da sede;Urbana;Tipo 1;374.0;16;4,28%;198.0;52,94%;160.0;42,78%
150130305000007;Sede;Bairro da sede;Urbana;Tipo 1;210.0;104;49,52%;74.0;35,24%;31.0;14,76%
150130305000008;Sede;Bairro da sede;Urbana;Tipo 1;265.0;125;47,17%;90.0;33,96%;48.0;18,11%
150130305000009;Sede;Bairro da sede;Urbana;Tipo 1;369.0;86;23,31%;167.0;45,26%;104.0;28,18%
150130305000010;Sede;Bairro da sede;Urbana;Tipo 1;247.0;73;29,55%;147.0;59,51%;26.0;10,53%
150130305000011;Sede;Bairro da sede;Urbana;Tipo 1;349.0;69;19,77%;121.0;34,67%;156.0;44,70%
150130305000012;Sede;Bairro da sede;Urbana;Tipo 1;350.0;35;10,00%;301.0;86,00%;14.0;4,00%
